Signatura,Denominació comercial,Municipi,Adreça de l'establiment,Nombre de vehicles,Nom explotador(s),NIF/CIF explotador(s)
RC/173,SPRINT RENTAL SPAIN,SANTANYÍ,"Carrer Perico Pomar, 5. 07660 Cala D'Or, SANTANYÍ, Mallorca",50,Sprint Rental Spain SL,B57938664
RC/174,LUXCARS MALLORCA,ALCÚDIA,"Carretera Artà, 48. 07400 Port D'Alcúdia, ALCÚDIA, Mallorca",80,VANRELL LUXURY CARS SLU,B16601379
RC/175,DAMALU CAMPER VAMS,PALMA,"Carrer Viver, 3 pis baixos. 07006 PALMA, Mallorca",2,Silvia Covelli,*********
RC/176,Jose Mª Susacasa Candreva,PALMA,"Carrer Jesus, 34 lletra C. 07010 PALMA, Mallorca",1,JOSÉ MARIA SUSACASA CANDREVA,*********
RC/177,ROBERT STANEK,BÚGER,"Carrer POL. 4, PAR.110, S/N. 07311 BÚGER, Mallorca",1,ROBERT STANEK,*********
RC/178,MALLORCA BAY CARS,PALMA,"Carrer SON TROPELL, 22. 07199 Sant Jordi, PALMA, Mallorca",15,María Ángeles Frau Simón,*********
RC/179,AUTOBOX,CALVIÀ,"Carrer MAR MEDITERRÀNIA, 8. 07184 Galatzó, CALVIÀ, Mallorca",4,CARLOS ORDÓÑEZ BARBOSA,*********
RC/180,ISLEÑA DE MOTORES,PALMA,"Travessera GRAN VIA ASIMA, 30. 07009 Polígon Industrial De Son Castelló, PALMA, Mallorca",20,ISLEÑA DE MOTORES SL,B57141616
RC/181,ALFA RENT MALLORCA,PALMA,"Carrer ANTONI VILLALONGA, 2 pis 1º. 07011 PALMA, Mallorca",2,Margarita Shapran,*********
RC/182,MUVON,PALMA,"Carrer SOL, 28 pis 3º porta B. 07001 PALMA, Mallorca",1,NOVA MOBILITAT COMPARTIDA SLNE,B16576613
